[00:00:01] [Server thread/INFO]: Named entity class_4836['⎓ꖎᔑ╎∷ ᒷ∷⊣ᒷ↸╎ℸ ̣ ⍑'/23514, l='ServerLevel[CJU]', x=-51.50, y=93.00, z=-21.50] died: ⎓ꖎᔑ╎∷ ᒷ∷⊣ᒷ↸╎ℸ ̣ ⍑ fell from a high place
[00:01:30] [Worker-Main-1/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23840, l='ServerLevel[CJU]', x=287.00, y=31.00, z=-37.00] as it would cause deadlock
[00:01:30] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23856, l='ServerLevel[CJU]', x=287.00, y=31.00, z=-37.00] as it would cause deadlock
[00:01:39] [Server thread/INFO]: Named entity class_5419['⍑⚍⊣⍑ ᔑ⨅'⊣𝙹⨅𝙹ꖎ'/23602, l='ServerLevel[CJU]', x=244.51, y=21.00, z=218.49] died: ⍑⚍⊣⍑ ᔑ⨅'⊣𝙹⨅𝙹ꖎ tried to swim in lava
[00:01:41] [Server thread/INFO]: Gasttritis has made the advancement [A glorious Past]
[00:01:55] [Server thread/INFO]: Named entity class_5419['ᔑ!¡𝙹ꖎꖎ𝙹リ╎ᔑ ℸ ̣ 𝙹⊣∷⚍ꖎꖎ𝙹ᓵ⍑'/23604, l='ServerLevel[CJU]', x=243.51, y=63.00, z=212.51] died: ᔑ!¡𝙹ꖎꖎ𝙹リ╎ᔑ ℸ ̣ 𝙹⊣∷⚍ꖎꖎ𝙹ᓵ⍑ suffocated in a wall
[00:01:55] [Server thread/INFO]: Named entity class_5419['ᒷ↸ᔑリ ↸𝙹⊣'↸∷╎ℸ ̣ ⍑'/23605, l='ServerLevel[CJU]', x=241.51, y=63.00, z=212.49] died: ᒷ↸ᔑリ ↸𝙹⊣'↸∷╎ℸ ̣ ⍑ suffocated in a wall
[00:02:06] [Worker-Main-3/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23980, l='ServerLevel[CJU]', x=289.00, y=31.00, z=299.00] as it would cause deadlock
[00:02:06] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/23984, l='ServerLevel[CJU]', x=289.00, y=31.00, z=299.00] as it would cause deadlock
[00:02:09] [Server thread/INFO]: Named entity class_4836['ᓭ!¡ᔑ∷ꖌꖎᒷᓭ ʖ∷╎ᒲ'/23828, l='ServerLevel[CJU]', x=258.57, y=26.00, z=214.66] died: ᓭ!¡ᔑ∷ꖌꖎᒷᓭ ʖ∷╎ᒲ tried to swim in lava
[00:02:10] [Worker-Main-2/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24001, l='ServerLevel[CJU]', x=317.00, y=31.00, z=13.00] as it would cause deadlock
[00:02:10] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24004, l='ServerLevel[CJU]', x=317.00, y=31.00, z=13.00] as it would cause deadlock
[00:02:10] [Server thread/INFO]: Named entity class_4836['⎓⚍⋮╎ ∷ᔑ||'/23932, l='ServerLevel[CJU]', x=24.41, y=35.25, z=124.18] died: ⎓⚍⋮╎ ∷ᔑ|| went up in flames
[00:02:14] [Server thread/INFO]: Named entity class_4836['∷𝙹ᓭᔑ⚍∷ᔑ 𝙹⊣ꖎᔑリリᔑꖌ'/23849, l='ServerLevel[CJU]', x=286.66, y=28.00, z=200.43] died: ∷𝙹ᓭᔑ⚍∷ᔑ 𝙹⊣ꖎᔑリリᔑꖌ tried to swim in lava
[00:02:50] [Server thread/INFO]: Named entity class_4836['⎓╎リꖎ𝙹 ʖ𝙹リ⊣∷╎ꖌ'/23606, l='ServerLevel[CJU]', x=224.39, y=24.69, z=206.23] died: ⎓╎リꖎ𝙹 ʖ𝙹リ⊣∷╎ꖌ tried to swim in lava
[00:02:50] [Worker-Main-1/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24151, l='ServerLevel[CJU]', x=332.00, y=31.00, z=-21.00] as it would cause deadlock
[00:02:50] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24153, l='ServerLevel[CJU]', x=332.00, y=31.00, z=-21.00] as it would cause deadlock
[00:02:50] [Worker-Main-3/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24156, l='ServerLevel[CJU]', x=335.00, y=31.00, z=182.00] as it would cause deadlock
[00:02:50] [Server thread/WARN]: Skipped emitting ENTITY_MOUNT game event for entity class_4985['Strider'/24161, l='ServerLevel[CJU]', x=335.00, y=31.00, z=182.00] as it would cause deadlock
[00:03:06] [Server thread/INFO]: Named entity class_4836['ᔑ╎ℸ ̣ ⨅╎ʖᒷ∷ ᒲᔑ∷リᔑ∷ᔑリ'/24229, l='ServerLevel[CJU]', x=128.30, y=85.00, z=114.70] died: ᔑ╎ℸ ̣ ⨅╎ʖᒷ∷ ᒲᔑ∷リᔑ∷ᔑリ was slain by Gasttritis
[00:03:10] [Server thread/INFO]: Named entity class_5419['𝙹∷⎓⍑ꖎᔑ╎ℸ ̣ ⍑ ╎リ⎓ᒷ∷リ𝙹'/23600, l='ServerLevel[CJU]', x=231.30, y=22.42, z=206.30] died: 𝙹∷⎓⍑ꖎᔑ╎ℸ ̣ ⍑ ╎リ⎓ᒷ∷リ𝙹 tried to swim in lava
[00:03:33] [Server thread/INFO]: Named entity class_4836['ᓭ⚍∷||ᔑ ℸ ̣ ∷𝙹⊣'↸∷╎∷ᔑリ'/23609, l='ServerLevel[CJU]', x=229.70, y=25.22, z=206.30] died: ᓭ⚍∷||ᔑ ℸ ̣ ∷𝙹⊣'↸∷╎∷ᔑリ tried to swim in lava
[00:03:47] [Server thread/INFO]: Named entity class_4836['ᓭᒲ╎ℸ ̣ 𝙹リ|| ̇/'/24297, l='ServerLevel[CJU]', x=93.95, y=85.25, z=81.11] died: ᓭᒲ╎ℸ ̣ 𝙹リ|| ̇/ went up in flames
[00:03:59] [Server thread/INFO]: Named entity class_4836['⍑ᔑꖌᔑリ ⊣ᒷリᒷᓭ╎ᓭ'/24374, l='ServerLevel[CJU]', x=45.50, y=97.00, z=83.61] died: ⍑ᔑꖌᔑリ ⊣ᒷリᒷᓭ╎ᓭ discovered the floor was lava
[00:04:39] [Server thread/INFO]: Named entity class_4836['||ᔑ∷╎ ↸ᒷ⋮ᔑ'/24547, l='ServerLevel[CJU]', x=44.31, y=69.25, z=106.91] died: ||ᔑ∷╎ ↸ᒷ⋮ᔑ went up in flames
[00:04:45] [Server thread/INFO]: Named entity class_4836['∷⍑||ᓭ 𝙹ᓭℸ ̣ ∷╎↸'/24375, l='ServerLevel[CJU]', x=44.51, y=97.00, z=80.60] died: ∷⍑||ᓭ 𝙹ᓭℸ ̣ ∷╎↸ was shot by gordobe
[00:04:55] [Server thread/INFO]: Named entity class_4836['ᓭ∴ᔑ∷リᔑ ʖ∷╎ᒲ'/24373, l='ServerLevel[CJU]', x=57.20, y=98.25, z=78.16] died: ᓭ∴ᔑ∷リᔑ ʖ∷╎ᒲ went up in flames
[00:05:12] [Server thread/INFO]: Named entity class_5419['╎⊣リᔑᓵ╎𝙹  ̇/𝙹∷⊣∷ᔑꖎ𝙹↸'/24548, l='ServerLevel[CJU]', x=41.30, y=65.00, z=99.30] died: ╎⊣リᔑᓵ╎𝙹  ̇/𝙹∷⊣∷ᔑꖎ𝙹↸ was shot by Gasttritis
[00:05:17] [Server thread/INFO]: Named entity class_4836['ℸ ̣ ╎ℸ ̣ ᔑ╎ᔑ ᓭ𝙹⚍ꖎ'/24583, l='ServerLevel[CJU]', x=17.47, y=60.25, z=92.17] died: ℸ ̣ ╎ℸ ̣ ᔑ╎ᔑ ᓭ𝙹⚍ꖎ went up in flames
[00:05:53] [Server thread/INFO]: gordobe has completed the challenge [Return to Sender]
[00:06:36] [Server thread/INFO]: Named entity class_4836['ᒷ⊣ᔑリ ᓭᓵ𝙹∷ᓵ⍑'/24891, l='ServerLevel[CJU]', x=56.78, y=63.25, z=2.88] died: ᒷ⊣ᔑリ ᓭᓵ𝙹∷ᓵ⍑ went up in flames
[00:07:56] [Server thread/INFO]: Named entity class_4836['ᓭ𝙹⚍⍊ᔑリꖌ⍑ᔑᒲ ↸ᒷ⋮ᔑ'/25221, l='ServerLevel[CJU]', x=-9.21, y=52.25, z=-20.61] died: ᓭ𝙹⚍⍊ᔑリꖌ⍑ᔑᒲ ↸ᒷ⋮ᔑ went up in flames
